hotel_city,hotel_name,hotel_score,hotel_desc,hotel_url
Aix-en-Provence,La Bastide de Ganay,8.9,Double Room,https://www.booking.com/hotel/fr/la-bastide-de-ganay-aix-en-provence123456789101112.en-gb.html
Aix-en-Provence,Les Suites du Cours & Spa,9.1,Deluxe Suite with Balcony,https://www.booking.com/hotel/fr/les-suites-du-cours.en-gb.html
Cassis,La Rade,8.8,Apartment with Sea View,https://www.booking.com/hotel/fr/la-rade-cassis1.en-gb.html
Cassis,Chez Mamouska,8.2,Double Room with Terrace,https://www.booking.com/hotel/fr/chez-mamouska.en-gb.html
Cassis,Mirabeau - Chambre Meublée,8.1,Double Room,https://www.booking.com/hotel/fr/mirabeau-cassis.en-gb.html
Cassis,CALYPSO,8.2,Apartment with Sea View,https://www.booking.com/hotel/fr/sea-and-sun-cassis.en-gb.html
Cassis,"Cassis centre, superbe appartement neuf, 50m port.",9.2,One-Bedroom Apartment,https://www.booking.com/hotel/fr/cassis-centre-superbe-appartement-neuf-50m-port.en-gb.html
Montauban,Les Chalets du Manoir,9.1,Double Room,https://www.booking.com/hotel/fr/les-chalets-du-manoir.en-gb.html
Montauban,B&B HOTEL Montauban,7.8,Standard Double Room,https://www.booking.com/hotel/fr/b-amp-b-montauban.en-gb.html
Montauban,Kyriad Direct Montauban Centre,6.9,1 lit double + 1 lit simple superposé,https://www.booking.com/hotel/fr/kyriad-direct-montauban-centre.en-gb.html
Montauban,ibis budget Montauban Les Chaumes,7.7,Triple Room,https://www.booking.com/hotel/fr/ibis-budget-montauban-les-chaumes.en-gb.html
Collioure,Magnifique appartement proche centre Collioure,8.0,Two-Bedroom Apartment,https://www.booking.com/hotel/fr/magnifique-appartement-proche-centre-collioure.en-gb.html
Collioure,location Coma Chéric,9.1,Three-Bedroom Apartment,https://www.booking.com/hotel/fr/location-coma-cheric.en-gb.html
Collioure,Résidence Saint Vincent,8.0,Studio third floor,https://www.booking.com/hotel/fr/residence-saint-vincent.en-gb.html
Collioure,Duplex quartier piéton,8.2,Two-Bedroom Apartment,https://www.booking.com/hotel/fr/duplex-quartier-pieton.en-gb.html
Collioure,Le charme de Collioure,7.2,One-Bedroom Apartment,https://www.booking.com/hotel/fr/le-charme-de-collioure.en-gb.html
Aix-en-Provence,Novotel Aix-en-Provence Beaumanoir,7.0,Family Room,https://www.booking.com/hotel/fr/novotel-aix-beaumanoir.en-gb.html
Aix-en-Provence,Le Mas D'Entremont,8.2,Double Room,https://www.booking.com/hotel/fr/mas-d-entremont.en-gb.html
Aix-en-Provence,Odalys City Aix en Provence Les Floridianes,7.8,Superior Studio with Terrace (2 People),https://www.booking.com/hotel/fr/les-floridianes.en-gb.html
Aix-en-Provence,Domaine de Saint Clair,9.7,Deluxe King Suite,https://www.booking.com/hotel/fr/domaine-de-saint-clair.en-gb.html
Aix-en-Provence,Belvoir Sissi exclusif Appart piscine chauffée 10 min centre AixenPc,9.9,Apartment - Ground Floor,https://www.booking.com/hotel/fr/belvoir-sissi.en-gb.html
Cassis,Appartement T3 - RDC - CASSIS,8.8,Apartment,https://www.booking.com/hotel/fr/appartement-t3-rdc-cassis.en-gb.html
Cassis,"Cassis, charmant appart en face de la plage.",8.9,One-Bedroom Apartment,https://www.booking.com/hotel/fr/cassis-charmant-appart-en-face-de-la-plage.en-gb.html
Cassis,Le Bosquet,8.3,Two-Bedroom Apartment,https://www.booking.com/hotel/fr/le-bosquet-cassis1.en-gb.html
Cassis,Le Clocher de Cassis,8.3,Apartment,https://www.booking.com/hotel/fr/clocher-de-cassis.en-gb.html
Cassis,Studio cocooning à 50 m du port,8.0,One-Bedroom Apartment,https://www.booking.com/hotel/fr/studio-cocooning-a-50-m-du-port.en-gb.html
Cassis,La Villa De Port-Miou,8.1,Apartment - Ground Floor,https://www.booking.com/hotel/fr/la-villa-de-port-miou.en-gb.html
Collioure,Collioure,8.4,Apartment,https://www.booking.com/hotel/fr/collioure-1-et-etage.en-gb.html
Collioure,Appartement de charme à 50m de la plage de sable,8.5,Apartment with Sea View,https://www.booking.com/hotel/fr/appartement-de-charme-a-50m-de-la-plage-de-sable.en-gb.html
Collioure,Hôtel des Templiers,8.0,Double Room with Bath,https://www.booking.com/hotel/fr/ha-tel-des-templiers.en-gb.html
Grenoble,Novotel Grenoble Centre,7.5,Classic Double Room with Sofa Bed,https://www.booking.com/hotel/fr/grenoble-centre.en-gb.html
Aix-en-Provence,Bastide des Lauves,4.5,Deluxe Villa,https://www.booking.com/hotel/fr/bastide-des-lauves.en-gb.html
Aix-en-Provence,thecamp hôtel Premium Lodge- Aix en Provence,8.0,Twin Room,https://www.booking.com/hotel/fr/thecamp-amp-lodges.en-gb.html
Aix-en-Provence,Hôtel Le Mozart,8.4,Double Room with Bath,https://www.booking.com/hotel/fr/le-mozart.en-gb.html
Cassis,studio Cassis Rastit,8.1,Apartment,https://www.booking.com/hotel/fr/studio-cassis-rastit.en-gb.html
Cassis,Appartement Esterelle,7.6,One-Bedroom Apartment,https://www.booking.com/hotel/fr/appartement-esterelle.en-gb.html
